ADDRESS,CB,CITY,CLCODE,COUNTY,ESTYMD,LATITUDE,LONGITUDE,NAME,OFFICES,SPECGRPN,STCNTY,STNAME,ZIP
1221 Brickell Ave,1,Miami,21,Miami-Dade,7/24/1986,25.761227,-80.19110098,Banco do Brasil Americas,4,Mortgage Lending Specialization,12086,Florida,33131
13315 Us Highway 301,1,Dade City,3,Pasco,11/3/1986,28.35156202,-82.18820701,First National Bank of Pasco,5,Commercial Lending Specialization,12101,Florida,33525
4705 W Us Highway 90,0,Lake City,34,Columbia,1/1/1961,30.18432708,-82.70867835,First Federal Bank,28,All Other Over 1 Billion,12023,Florida,32055
258 Southhall Ln,1,Maitland,3,Orange,1/1/1962,28.62854201,-81.395499,"Axiom Bank, National Association",7,Commercial Lending Specialization,12095,Florida,32751
9190 Coral Way,1,Miami,33,Miami-Dade,8/23/1976,25.74732559,-80.34354699,"Interamerican Bank, A FSB",5,Commercial Lending Specialization,12086,Florida,33165
999 Brickell Ave,1,Miami,21,Miami-Dade,12/8/1989,25.76385598,-80.19058801,Helm Bank USA,1,Mortgage Lending Specialization,12086,Florida,33131
990 N Woodland Blvd,1,Deland,21,Volusia,1/1/1926,29.04434999,-81.30450497,Surety Bank,3,Commercial Lending Specialization,12127,Florida,32720
1050 Lake Sumter Lndg,0,The Villages,21,Sumter,7/1/1991,28.908031,-81.97264802,Citizens First Bank,19,All Other Over 1 Billion,12119,Florida,32162
1101 1st St S,0,Winter Haven,3,Polk,2/21/1992,28.01078502,-81.72733796,"SouthState Bank, National Association",271,Commercial Lending Specialization,12105,Florida,33880
1001 E Hallandale Beach Blvd,1,Hallandale,3,Broward,2/28/1992,25.98622402,-80.13804303,"Desjardins Bank, National Association",3,Mortgage Lending Specialization,12011,Florida,33009
710 Carillon Pkwy,0,Saint Petersburg,13,Pinellas,5/6/1994,27.88875498,-82.66697596,Raymond James Bank,1,Commercial Lending Specialization,12103,Florida,33716
4031 Oakwood Blvd,1,Hollywood,3,Broward,12/6/1994,26.044414,-80.15996297,"Natbank, National Association",4,Mortgage Lending Specialization,12011,Florida,33020
571 Beachland Blvd,1,Vero Beach,21,Indian River,7/1/1997,27.65367499,-80.36287904,Marine Bank & Trust Company,5,Commercial Lending Specialization,12061,Florida,32963
13000 S Cleveland Ave,1,Fort Myers,3,Lee,8/29/1997,26.55145875,-81.8724655,Edison National Bank,4,Other Specialized Under 1 Billion,12071,Florida,33907
3501 E Frontage Rd,0,Tampa,3,Hillsborough,5/18/1998,27.95707202,-82.53659596,"TCM Bank, National Association",1,Credit-card Specialization,12057,Florida,33607
14095 S Dixie Hwy,1,Miami,21,Miami-Dade,3/15/1999,25.639447,-80.33561002,Sunstate Bank,3,Commercial Lending Specialization,12086,Florida,33176
301 W Bay St,0,Jacksonville,3,Duval,10/1/1998,30.32765298,-81.66236899,"EverBank, National Association",13,All Other Over 1 Billion,12031,Florida,32202
420 S Orange Ave,1,Orlando,21,Orange,9/10/1999,28.53814402,-81.37974597,Cogent Bank,9,Commercial Lending Specialization,12095,Florida,32801
700 Central Ave,1,Saint Petersburg,3,Pinellas,2/12/1999,27.77079202,-82.64352298,BayFirst National Bank,12,Commercial Lending Specialization,12103,Florida,33701
320 Us Highway 27 N,1,Sebring,3,Highlands,9/7/1999,27.48590701,-81.47997802,Heartland National Bank,4,Other Specialized Under 1 Billion,12055,Florida,33870
301 E Base St,1,Madison,21,Madison,5/5/1999,30.46985599,-83.411483,Madison County Community Bank,2,Commercial Lending Specialization,12079,Florida,32340
277 N Sykes Creek Pkwy,1,Merritt Island,21,Brevard,11/29/1999,28.36083198,-80.68523203,Community Bank of the South,3,Other Specialized Under 1 Billion,12009,Florida,32953
2929 E Commercial Blvd,1,Fort Lauderdale,21,Broward,11/1/2000,26.19063802,-80.10730903,OptimumBank,4,Commercial Lending Specialization,12011,Florida,33308
6115 N Wickham Rd,1,Melbourne,21,Brevard,10/23/1996,28.21107202,-80.67159501,Cypress Bank & Trust,4,Commercial Lending Specialization,12009,Florida,32940
716 W Fletcher Ave,1,Tampa,13,Hillsborough,9/11/2000,28.068896,-82.46592797,Century Bank of Florida,1,Commercial Lending Specialization,12057,Florida,33612
